Level,Status,Mode,Gender,Licence,Work,Car_Avail,Family,Cars,Children,Adults,Income,Time.Auto,Time.Transit,Time.Active
Grad,FT,Active,Female,1,Other,0,Roommates,0,0,2,Low,4.603065,25.568201000000002,35.364990000000006
UG,FT,Transit,Female,0,Other,0,Family,1,0,4,Low,15.91009,71.09102999999998,207.3231
Grad,FT,Active,Female,1,Other,1,Other,0,0,2,Low,5.499556,35.577191,46.45101000000001
Grad,FT,Transit,Male,0,Other,0,Other,0,0,1,Low,32.138870000000004,64.417486,208.03875
UG,FT,Transit,Male,1,Other,1,Family,2,2,5,Unknown,13.092360000000001,46.74061,99.65254500000002
UG,FT,Transit,Female,1,Other,1,Family,1,1,2,Low,57.64091,131.823943,341.45294999999993
UG,FT,Active,Female,1,Other,0,Roommates,0,0,2,Unknown,3.320328,31.447038,28.74147
UG,FT,Transit,Female,1,Other,1,Family,2,1,3,Unknown,9.183631,45.941966,124.73550000000002
UG,FT,Active,Female,0,Other,0,Roommates,0,3,2,Low,2.924953,24.128386,16.985265000000002
UG,FT,Active,Female,0,Other,0,Other,0,0,1,Low,3.792585,18.826039,22.924049999999998
UG,FT,Transit,Male,1,Other,1,Family,1,0,3,Unknown,46.32949,112.127768,324.19725
Grad,FT,Transit,Female,1,Other,0,Roommates,0,0,4,Unknown,11.14976,53.00517600000001,80.79070499999999
UG,FT,Transit,Male,0,Other,0,Family,1,1,3,Low,23.98561,93.776616,342.98775
UG,FT,Transit,Female,0,Other,0,Family,2,3,3,Unknown,44.54497,95.91998000000001,296.0691
Grad,PT,Active,Male,1,Other,0,Roommates,0,0,1,Low,2.168042,23.855995999999998,19.46616
Grad,PT,Transit,Female,0,Other,0,Family,1,0,2,Unknown,35.7557,79.91449200000002,222.8856
UG,FT,Auto,Female,1,Other,1,Family,2,1,5,Unknown,31.2859,109.024324,275.50905
UG,FT,Active,Female,0,Other,0,Roommates,0,0,4,Unknown,3.792585,18.826039,22.924049999999998
Grad,FT,Active,Female,1,Other,0,Other,0,0,1,Unknown,2.595157,27.40234,23.805030000000002
Grad,FT,Transit,Female,1,Other,1,Other,2,0,2,Unknown,99.49899,180.556,1002.5307
Grad,FT,Transit,Female,1,Other,0,Family,2,0,4,Unknown,37.965759999999996,83.66392499999998,271.24275
UG,FT,Transit,Male,1,Other,1,Family,2,0,4,Unknown,53.94389,88.37609,402.10215000000005
