Origin,Sample_TopSchool,SC_Sample_Prob,SG_Sample_Prob,MI_Sample_Prob,OC_Sample_Prob,RY_Sample_Prob,YK_Sample_Prob,YG_Sample_Prob,SC_Family_Prob,SG_Family_Prob,MI_Family_Prob,OC_Family_Prob,RY_Family_Prob,YK_Family_Prob,YG_Family_Prob,SC_NonFam_Prob,SG_NonFam_Prob,MI_NonFam_Prob,OC_NonFam_Prob,RY_NonFam_Prob,YK_NonFam_Prob,YG_NonFam_Prob,Grav_Pred,SG_Norm_Grav,MI_Norm_Grav,OC_Norm_Grav,RY_Norm_Grav,SC_Norm_Grav,YG_Norm_Grav,YK_Norm_Grav,HZ_Pred,MI_Norm_HZ,OC_Norm_HZ,RY_Norm_HZ,SC_Norm_HZ,SG_Norm_HZ,YG_Norm_HZ,YK_Norm_HZ,Dist_Pred,MI_Norm_Dist,OC_Norm_Dist,RY_Norm_Dist,SC_Norm_Dist,SG_Norm_Dist,YG_Norm_Dist,YK_Norm_Dist,Zone,Resid_SG,Resid_MI,Resid_OC,Resid_RY,Resid_SC,Resid_YG,Resid_YK
1021,,,,,,,,,,,,,,,,,,,,,,,SC,0.564493764,0.099864103,0.55563679,0.596571354,5.585003817,1.112511503,0.942332458,RY,0,0.193650655,3.192211773,0.273487512,0.083960575,0,1.515131326,RY,0,0.839152838,3.865118291,0,0.134843099,0.226717791,0.775090518,,,,,,,,
1022,,,,,,,,,,,,,,,,,,,,,,,SC,0.572597893,0.101297894,0.563614261,0.605136562,5.665189931,1.128483227,0.887883832,RY,0,0.193650655,3.192211773,0.273487512,0.083960575,0,1.515131326,SC,0.138221606,2.516061324,1.185028495,4.3296366,0.460564648,2.134925869,0.629248,,,,,,,,
1023,,,,,,,,,,,,,,,,,,,,,,,SC,0.574835623,0.101693683,0.565816359,0.607501456,5.687324397,1.132893342,0.872851954,RY,0,0.193650655,3.192211773,0.273487512,0.083960575,0,1.515131326,SC,0.138221606,2.219437702,1.344091649,3.689006751,0.47039066,2.694163088,0.671071937,,,,,,,,
1024,OC,0,1.234714333,0,16.13755459,0,0,0,0,1.683764136,0,18.04761905,0,0,0,,,,,,,,SC,0.581492906,0.1028715,0.572369723,0.614537049,5.753195724,1.146014679,0.828124098,RY,0,0.193650655,3.192211773,0.273487512,0.083960575,0,1.515131326,SC,0,3.419317031,0.988924141,3.697660475,0.595520228,0.11661889,0.889423053,1024,-0.06014619,0.016367155,-0.483130701,0.142654517,0.211488469,0.019509229,0.15325752
1025,,,,,,,,,,,,,,,,,,,,,,,SC,0.587252283,0.103890402,0.578038749,0.620623712,5.810178064,1.157364262,0.789430811,RY,0,0.193650655,3.192211773,0.273487512,0.083960575,0,1.515131326,SC,0,3.304153573,1.045137815,3.847310521,0.543503701,0.025931774,0.912010703,,,,,,,,
1026,,,,,,,,,,,,,,,,,,,,,,,SC,0.569741727,0.100792517,0.560802388,0.602117538,5.636926283,1.122854232,0.907074916,RY,0,0.193650655,3.192211773,0.273487512,0.083960575,0,1.515131326,YK,0.113815447,1.885404294,0.655486552,2.512528008,0.555485973,0.86043982,1.796328911,,,,,,,,
1027,,,,,,,,,,,,,,,,,,,,,,,SC,0.564493371,0.099864135,0.555636919,0.596571493,5.58500513,1.112510732,0.94233268,RY,0,0.193650655,3.192211773,0.273487512,0.083960575,0,1.515131326,RY,0.183247497,0.892944687,1.615503203,2.762533274,0.491300627,4.255996762,0.720165444,,,,,,,,
1028,SC,13.67437558,0,0,0,0,0,0,10.48805031,0,0,0,0,0,0,,,,,,,,SC,0.602277939,0.106548467,0.592828108,0.636502628,5.958833924,1.186977007,0.688486063,RY,0,0.193650655,3.192211773,0.273487512,0.083960575,0,1.515131326,SG,0.016588486,3.636713194,0.142240702,0.161878033,1.614582478,5.63897529,0.324876839,1028,0.238026232,0.023348176,0.023316476,0.170617304,-0.653481522,0.027328492,0.170844842
1029,SC,9.116250385,0.823142889,0,0,0,0,0,6.992033543,1.122509424,0,0,0,0,0,,,,,,,,SC,0.613283148,0.108495389,0.603660635,0.648133214,6.067717548,1.208666236,0.614549491,RY,0,0.193650655,3.192211773,0.273487512,0.083960575,0,1.515131326,RY,0.359831912,6.562489099,1.885955033,0.523922656,0.736830635,2.174712619,0.108358705,1029,-0.094363316,0.023440753,0.023408927,0.17129381,-0.31877406,0.02743685,0.167557036
1030,YK,0,1.234714333,0,0,0,2.367392697,0,0,1.683764136,0,0,0,2.047642436,0,,,,,,,,SC,0.616065423,0.108987702,0.606399824,0.651074199,6.095250561,1.214150676,0.595854508,RY,0,1.323279476,3.192211773,0.273487512,0.170390578,0,1.183696348,YK,0.145468263,4.110319955,0.953946875,3.021673836,0.410140414,0.317692194,1.345017668,1030,-0.056892465,0.016498778,0.017004416,0.143777789,0.213221947,0.019665768,-0.353276232
