Origin,Sample_TopSchool,SC_Sample_Prob,SG_Sample_Prob,MI_Sample_Prob,OC_Sample_Prob,RY_Sample_Prob,YK_Sample_Prob,YG_Sample_Prob,SC_Family_Prob,SG_Family_Prob,MI_Family_Prob,OC_Family_Prob,RY_Family_Prob,YK_Family_Prob,YG_Family_Prob,SC_NonFam_Prob,SG_NonFam_Prob,MI_NonFam_Prob,OC_NonFam_Prob,RY_NonFam_Prob,YK_NonFam_Prob,YG_NonFam_Prob,Grav_Pred,SG_Norm_Grav,MI_Norm_Grav,OC_Norm_Grav,RY_Norm_Grav,SC_Norm_Grav,YG_Norm_Grav,YK_Norm_Grav,HZ_Pred,MI_Norm_HZ,OC_Norm_HZ,RY_Norm_HZ,SC_Norm_HZ,SG_Norm_HZ,YG_Norm_HZ,YK_Norm_HZ,Dist_Pred,MI_Norm_Dist,OC_Norm_Dist,RY_Norm_Dist,SC_Norm_Dist,SG_Norm_Dist,YG_Norm_Dist,YK_Norm_Dist
1015,,,,,,,,,,,,,,,,,,,,,,,SC,0.5639574002558061,0.10379401211173185,0.553445316622807,0.5936914822719329,5.548949983299351,1.1239712508125002,0.9392208799806887,YK,0.0,0.0,0.0,0.0,1.193294064849097,0.0,2.4362557665486535,YK,0.0597975797199209,0.0,0.5020454759811628,1.9372610067391671,0.4935422128739666,3.06917306998557,2.306102742775833
1016,,,,,,,,,,,,,,,,,,,,,,,SC,0.5743124747256816,0.1056999267709497,0.5636078793859649,0.6045930753722475,5.650841983188138,1.1446100569375002,0.869827526984229,YK,0.0,0.0,0.0,0.0,1.193294064849097,0.0,2.4362557665486535,RY,0.06889751764667446,0.0,1.583727609883572,3.8971936670771194,0.5150312022451873,4.627607886904761,0.4251915466696771
1017,,,,,,,,,,,,,,,,,,,,,,,SC,0.5961031608986874,0.10971041137430168,0.5849924149561404,0.6275326754631247,5.8652474179054686,1.1880391158124999,0.723805023405214,YK,0.0,0.0,0.0,0.0,1.193294064849097,0.0,2.4362557665486535,SG,0.03794974113409868,0.0,0.577231476856266,1.6252572700298051,0.9332132448557532,3.1613765106421354,1.5011681840034365
1018,,,,,,,,,,,,,,,,,,,,,,,SC,0.6019368836317738,0.11078408029050278,0.5907174021491228,0.6336739805592451,5.9226472688600555,1.1996646790625,0.6847125126424204,YK,0.0,0.19289473684210526,0.46116742397763016,0.2717330861909175,0.08388421406933694,0.0,4.010621177985195,YK,0.013649906890130351,0.0,0.3061528376086222,1.551304779557792,0.5136715462068879,1.910077155483405,2.714696231244349
1019,,,,,,,,,,,,,,,,,,,,,,,SC,0.6020691122921575,0.11080842080446926,0.5908471560087719,0.6338131813841315,5.923948313290083,1.1999281925625,0.6838264343096234,YK,0.0,0.19289473684210526,0.46116742397763016,0.2717330861909175,0.08388421406933694,0.0,4.010621177985195,SG,0.0,0.42100041771094404,1.4726857076280353,0.19700648748841523,1.4652715936593421,0.091625,0.42038499854399425
1020,,,,,,,,,,,,,,,,,,,,,,,SC,0.5639798590205318,0.103798238122905,0.5534678531578947,0.5937156730653618,5.5491761059870255,1.1240170633125,0.9390678724235596,YK,0.0,0.19289473684210526,1.1785389723872772,0.2717330861909175,0.08388421406933694,0.0,3.3500482780817507,YK,0.0,0.694267961570593,0.8075075379007569,0.11757681614030085,0.2339485724642238,0.32068749999999996,3.3516340332770973
1021,,,,,,,,,,,,,,,,,,,,,,,SC,0.5639803672601819,0.103798238122905,0.5534678531578947,0.5937156576931142,5.549175956533827,1.1240170633125,0.939066975931767,RY,0.0,0.19289473684210526,3.1769311429570077,0.2717330861909175,0.08388421406933694,0.0,1.5098809140650145,RY,0.0,0.8358771929824561,3.846616560068151,0.0,0.13472046157589748,0.2290625,0.7724045828648338
1022,,,,,,,,,,,,,,,,,,,,,,,SC,0.5720771257219791,0.10528851311731843,0.561414183991228,0.6022398661097518,5.628847676218721,1.1401539666874998,0.8848070319407788,RY,0.0,0.19289473684210526,3.1769311429570077,0.2717330861909175,0.08388421406933694,0.0,1.5098809140650145,SC,0.1436668302785403,2.5062398420293155,1.1793559447465427,4.301861933524217,0.4601457732966929,2.157005208333333,0.6270674551487716
1023,,,,,,,,,,,,,,,,,,,,,,,SC,0.5743128201312689,0.10569989401117318,0.563607686491228,0.6045934391821042,5.650840148989806,1.1446096904375,0.8698272438815577,RY,0.0,0.19289473684210526,3.1769311429570077,0.2717330861909175,0.08388421406933694,0.0,1.5098809140650145,SC,0.1436668302785403,2.2107740943267262,1.3376576877625466,3.66534173248131,0.4699628479812364,2.722026041666667,0.6687464595474413
1024,SG,0.0,1.233591383372602,0.0,16.07456140350877,0.0,0.0,0.0,0.0,1.6876019575856445,0.0,18.06986899563319,0.0,0.0,0.0,,,,,,,,SC,0.580964048808482,0.10692411048044694,0.5701354694298245,0.6115953544285214,5.716288910583875,1.1578667284375,0.8252543844222724,RY,0.0,0.19289473684210526,3.1769311429570077,0.2717330861909175,0.08388421406933694,0.0,1.5098809140650145,SC,0.0,3.4059696765611864,0.9841903126935821,3.6739399425208723,0.5949786134889956,0.11782495915032679,0.8863409194116585
