,SG,MI,OC,RY,SC,YG,YK,SGNorm,MINorm,OCNorm,RYNorm,SCNorm,YGNorm,YKNorm,Origin
131,0.437066278,0.053333736,0.033745892,0.18084935,0.019524617,0.018242945,0.257237182,1.078322388,0.873600635,1.08490084,0.926686988,0.265274224,0.835754904,1.213742223,131
132,0.429973784,0.052934593,0.033198281,0.177914617,0.019207764,0.01899065,0.267780312,1.060823909,0.867062719,1.067295609,0.911649173,0.260969244,0.870009175,1.263488692,132
133,0.402261215,0.056275619,0.031058593,0.166447706,0.018967867,0.020264637,0.304724363,0.992451936,0.921788347,0.998506523,0.852891775,0.257709854,0.928373696,1.437804688,133
134,0.394920732,0.050465397,0.030147065,0.16341036,0.019921906,0.021083259,0.320051281,0.974341624,0.826617557,0.969201703,0.837328163,0.270672053,0.965876806,1.510122879,134
135,0.373184078,0.057732974,0.028813547,0.154416164,0.02108779,0.019627877,0.345137569,0.920713327,0.945659671,0.926330263,0.791241163,0.286512511,0.8992021,1.628489465,135
136,0.376800245,0.042153545,0.028475902,0.155912462,0.02166363,0.020432039,0.354562177,0.92963507,0.690470358,0.915475279,0.798908316,0.294336255,0.936042765,1.672958327,136
137,0.386243167,0.040584464,0.029189559,0.159819756,0.021562652,0.021984004,0.340616398,0.952932486,0.664768983,0.938418708,0.818929612,0.2929643,1.007142178,1.607156872,137
138,0.399221736,0.044685175,0.030170388,0.16519003,0.020187723,0.021647867,0.318897082,0.984952986,0.731938179,0.969951515,0.84644734,0.274283609,0.99174289,1.504676928,138
139,0.426105673,0.04271915,0.032202088,0.176314069,0.019951595,0.020264439,0.282442985,1.051280573,0.699734899,1.03526889,0.903447836,0.271075426,0.928364632,1.332672727,139
140,0.448127407,0.046400281,0.034599922,0.185426226,0.02001874,0.017673859,0.247753564,1.105612217,0.76003142,1.112357154,0.950139278,0.271987696,0.809683654,1.168994933,140
141,0.442939694,0.042290607,0.033592964,0.183279619,0.020423748,0.018656317,0.25881705,1.092813181,0.692715424,1.07998431,0.939139889,0.277490406,0.854692545,1.221196636,141
142,0.455214308,0.04642197,0.035147105,0.188358662,0.019517447,0.017231268,0.23810924,1.123096895,0.760386679,1.129948604,0.965165322,0.2651768,0.789407479,1.123489367,142
143,0.464447638,0.050230268,0.036135719,0.189911257,0.018410905,0.016254371,0.224609841,1.145877208,0.822766181,1.161731679,0.973120946,0.250142598,0.744653389,1.059794102,143
144,0.47336685,0.043567147,0.03654866,0.195869788,0.01779827,0.015713482,0.217135803,1.167882534,0.713624995,1.17500736,1.003652952,0.24181894,0.719873898,1.024528766,144
145,0.487185899,0.044235058,0.037615629,0.201587855,0.016544959,0.014594122,0.198236479,1.201976654,0.724565311,1.209309475,1.032952796,0.224790632,0.668593209,0.935354611,145
146,0.498117087,0.044038773,0.038755325,0.203678538,0.016425054,0.014488355,0.184496869,1.228945892,0.721350173,1.24594971,1.043665629,0.223161524,0.663747766,0.870525942,146
147,0.512912995,0.035129039,0.037955964,0.212233216,0.01631919,0.014394974,0.171054621,1.265450103,0.575409738,1.220250954,1.087500508,0.22172319,0.659469739,0.807100337,147
148,0.495078395,0.037027644,0.03616387,0.204853613,0.017215173,0.015198686,0.194462618,1.221448885,0.606508664,1.162636695,1.049686811,0.233896611,0.696289815,0.917548112,148
149,0.460700908,0.038430529,0.034226286,0.190628909,0.019599475,0.017303704,0.23911019,1.136633341,0.629487773,1.100345056,0.976798253,0.266291288,0.792725944,1.128212225,149
150,0.470216438,0.035678529,0.034347785,0.194566228,0.019932118,0.017597383,0.22766152,1.160109891,0.584410311,1.104251145,0.996973403,0.270810795,0.806180122,1.074193074,150
151,0.447740868,0.036976077,0.031916835,0.185266284,0.020645132,0.018655066,0.258799738,1.104658554,0.605664008,1.026098239,0.949319721,0.280498271,0.854635219,1.221114953,151
152,0.456096636,0.033934809,0.032512475,0.188723735,0.021030405,0.018592084,0.249109856,1.12527376,0.555848378,1.045247541,0.967035984,0.285732841,0.851749869,1.175394431,152
153,0.417003631,0.034797904,0.029725756,0.172547825,0.019931001,0.021823326,0.304170556,1.028824172,0.569985787,0.955656993,0.88414929,0.270795617,0.999781107,1.435191617,153
154,0.388236345,0.033942195,0.027675104,0.159669325,0.021909416,0.02247349,0.346094124,0.957850019,0.555969365,0.889730328,0.818158793,0.297675667,1.029566783,1.63300285,154
155,0.38959082,0.031430929,0.027771683,0.160226378,0.021934703,0.022551896,0.346493592,0.961191757,0.514835098,0.892835238,0.821013179,0.298019222,1.033158726,1.634887692,155
