,Campus,Mode,HomeZone,Income,Time.Auto,Time.Transit,Time.Active
312,69,Transit,329,"$ 240,000 +",33.60007,76.070727,205.96005
313,566,Active,562,Unknown,1.9089990000000001,17.573247000000002,19.08999
314,566,Transit,535,"$ 30,000 - 59,999",12.25042,55.637858,155.89725
315,69,Active,73,"$ 30,000 - 59,999",2.014925,20.126511999999998,15.20709
316,69,Transit,203,I donâ€™t know,5.848496,35.80122,44.581845
317,69,Auto,127,Unknown,23.19752,56.483687,129.73508999999999
318,69,Transit,269,"Less than $ 30,000",13.53559,50.490272999999995,88.17565499999999
319,69,Active,76,I donâ€™t know,2.424763,17.100996000000002,26.824515
320,69,Active,46,"$ 150,000 - 179,999",2.168042,23.855995999999998,19.46616
321,69,Transit,2216,"Less than $ 30,000",64.82115,147.448779,404.47889999999995
322,69,Transit,2710,I donâ€™t know,93.38274,175.21282000000005,867.0730500000001
323,69,Active,185,Unknown,11.07215,46.064018,65.243415
324,566,Auto,554,I donâ€™t know,6.390018,38.625988,78.21375
325,69,Active,72,"$ 60,000 - 89,999",3.068723,25.742024,23.927640000000004
326,69,Transit,109,Unknown,12.56505,41.092905,74.442345
327,69,Transit,193,"$ 60,000 - 89,999",20.04374,46.728209,121.15327500000001
328,69,Transit,346,Unknown,38.36255,84.56743700000001,250.5978
329,3631,Transit,3620,"Less than $ 30,000",4.458424,41.395728999999996,47.800875
330,69,Active,68,I donâ€™t know,1.464106,25.325449,14.598600000000001
331,69,Transit,468,Unknown,40.818020000000004,113.97034,270.6438
332,69,Transit,3654,"$ 210,000 - 239,999",50.94216,131.16038,370.60335
333,69,Active,66,"Less than $ 30,000",3.235257,24.180734,34.47531
334,69,Transit,105,Unknown,11.34923,39.849031,65.27565
335,3631,Transit,3669,"Less than $ 30,000",28.00275,96.577332,250.38615
336,566,Active,1189,Unknown,43.3943,119.645507,398.8086
337,69,Active,46,"Less than $ 30,000",2.168042,23.855995999999998,19.46616
338,69,Transit,65,Unknown,3.892384,28.438384000000003,39.42108
339,69,Transit,295,"$ 210,000 - 239,999",34.5015,80.38956999999998,245.51145000000002
340,69,Transit,326,Unknown,36.27782,80.352112,226.86435
341,566,Auto,2427,Unknown,22.36391,107.75558,203.22825
342,3631,Active,3631,Unknown,0.0,0.0,0.0
343,69,Transit,503,Unknown,36.84921,80.49811399999999,243.82365
344,566,Active,578,Unknown,5.693951,38.521256,68.2008
345,3631,Auto,3655,Unknown,9.900758999999999,45.887638,110.07012
346,69,Active,73,Unknown,2.014925,20.126511999999998,15.20709
347,566,Transit,2098,I donâ€™t know,34.08215,77.22779,400.92375
348,69,Active,46,Unknown,2.168042,23.855995999999998,19.46616
349,69,Active,72,"$ 60,000 - 89,999",3.068723,25.742024,23.927640000000004
350,69,Active,67,I donâ€™t know,2.523888,24.493026999999998,28.469009999999997
351,69,Transit,401,"Less than $ 30,000",38.79475,85.49893800000002,262.81935000000004
352,69,Active,68,I donâ€™t know,1.464106,25.325449,14.598600000000001
353,3631,Active,91,"$ 30,000 - 59,999",25.51215,86.453819,283.74645000000004
354,69,Transit,105,Unknown,11.34923,39.849031,65.27565
355,69,Transit,366,Unknown,41.5664,111.12456599999999,272.93745
356,3631,Transit,116,"$ 30,000 - 59,999",23.29298,69.476302,224.76795
357,69,Transit,579,Unknown,49.11168,106.36576,343.0512
358,69,Transit,92,Unknown,3.5209309999999996,24.122092,29.256284999999995
359,69,Transit,278,Unknown,12.03127,33.814446000000004,63.855315
360,69,Transit,3682,"$ 90,000 - 119,999",51.66085,107.55228999999999,376.22325
361,69,Transit,524,"$ 60,000 - 89,999",35.388490000000004,62.69698,223.5576
362,69,Transit,109,"Less than $ 30,000",12.56505,41.092905,74.442345
363,69,Transit,2135,"$ 210,000 - 239,999",70.90111,176.397772,420.819
364,69,Transit,499,"Less than $ 30,000",42.89017,87.885214,289.60904999999997
