HHKey_,PsKey_,psage,psuniversityinvolvednumyears,personstatusgrad,personstatustime,hhlivingsituation,First-year,psmainmodefalltypicalaggr,HomeToMainCampusKM,Segment,hhsize,hhnumyoungerthan18,hhnumolderorequalto18,hhcarnumber,psdrivinglicenseownerflag,hhincomelevelshortname
22068,207326,22,0,Grad,FT,Live alone,TRUE,Walk,2.5,10,6,0,6,2,0,household_income_level__0_29999
22069,206858,22,2,UG,FT,Live with family/parents,FALSE,Local Transit,18.75,5,4,0,4,2,1,unknown
22070,207285,21,1,UG,FT,Live with family/parents,FALSE,Local Transit,13.5,5,8,3,5,2,0,unknown
22071,207036,20,2,UG,FT,Live with family/parents,FALSE,Regional Transit,32.25,5,4,0,4,2,1,household_income_level__60000_89999
22072,207510,33,0,Other,Other,Live with family/parents,TRUE,Other,92.75,0,4,2,2,1,1,unknown
22073,207360,20,2,UG,FT,Live with roommates,FALSE,Local Transit,3.5,6,4,0,4,0,0,household_income_level__0_29999
22074,206883,31,2,Grad,FT,Live with family/parents,FALSE,Regional Transit,50.25,9,4,0,4,4,1,household_income_level__120000_149999
22075,206751,21,0,UG,FT,Live with roommates,TRUE,Local Transit,7.5,2,1,0,1,1,1,household_income_level__60000_89999
22076,207330,25,4,UG,FT,Live with roommates,FALSE,Walk,1,6,4,0,4,0,1,household_income_level__60000_89999
22077,207535,39,1,Other,Other,Live alone,FALSE,Walk,1,0,1,0,1,1,1,household_income_level__30000_59999
22078,207058,30,6,UG,FT,Live alone,FALSE,Local Transit,5.25,6,2,1,1,0,0,household_income_level__0_29999
22079,206757,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,14.25,5,4,1,3,2,1,unknown
22080,207384,33,0,UG,FT,Live with partner,TRUE,Solo Driver,21,2,3,1,2,1,1,household_income_level__30000_59999
22081,207353,20,2,UG,FT,Live with family/parents,FALSE,Regional Transit,23.5,5,4,1,3,2,1,unknown
22082,207542,20,0,UG,FT,Live with family/parents,TRUE,Local Transit,19.5,1,4,0,4,1,1,unknown
22083,207070,27,0,Grad,FT,Live with roommates,TRUE,Local Transit,63.5,10,4,0,4,1,0,household_income_level__30000_59999
22084,206907,21,2,UG,FT,Live with family/parents,FALSE,Local Transit,5.75,5,3,0,3,0,1,household_income_level__90000_119999
22085,206782,20,2,UG,FT,Live with family/parents,FALSE,Regional Transit,21,5,3,0,3,1,1,unknown
22086,207392,19,1,UG,FT,Live with family/parents,FALSE,Regional Transit,26.5,5,3,0,3,1,0,household_income_level__i_dont_know
22087,207094,20,2,UG,FT,Live with family/parents,FALSE,Regional Transit,27.75,5,6,1,5,3,1,household_income_level__30000_59999
