Code,Name
1535,CEDARBROOK JUNIOR PUBLIC SCHOOL  --
1536,CENTENARY HEALTH CENTRE  --
1537,CENTRE FOR COMPUTER STUDIES  --
1538,CHARLES GORDON SENIOR PUBLIC SCHOOL  --
1539,CHIEF DAN GEORGE PUBLIC SCHOOL  --
1540,CHINE DRIVE PUBLIC SCHOOL  --
1541,CHURCHILL HEIGHTS PUBLIC SCHOOL  --
1542,CLAIRLEA PUBLIC SCHOOL  --
1543,CLIFFSIDE PUBLIC SCHOOL  --
1544,COMPUTEK INSTITUTE OF TECHNOLOGY - SCARBOROUGH  --
1545,CORNELL JUNIOR PUBLIC SCHOOL  --
1546,CORVETTE JUNIOR PUBLIC SCHOOL  --
1547,COURCELETTE PUBLIC SCHOOL  --
1548,DANFORTH GARDENS PUBLIC SCHOOL  --
1549,DAVID & MARY THOMSON COLLEGIATE INSTITUTE  --
155,FRANCIS LIBERMANN CATHOLIC ELEMENTARY SCHOOL  --
1551,DEVRY INSTITUTE OF TECHNOLOGY - SCARBOROUGH  --
1554,DONWOOD PARK JUNIOR PUBLIC SCHOOL  --
1555,DORSET PARK JUNIOR PUBLIC SCHOOL  --
1556,DURHAM BUSINESS & COMPUTER COLLEGE - OSHAWA  --
156,FRONTENAC YOUTH SERVICES - NEWCASTLE  --
1565,ECOLE SEPAREE SAINT JEAN DE LALANDE  --
1566,EDGEWOOD PUBLIC SCHOOL  --
1567,ELIZABETH SIMCOE JUNIOR PUBLIC SCHOOL  --
1568,ELLESMERE-STATTON PUBLIC SCHOOL  --
1569,EMILY CARR PUBLIC SCHOOL  --
157,FRONTENAC YOUTH SERVICES - SHAKESPEARE  --
1570,FAIRMOUNT JUNIOR PUBLIC SCHOOL  --
1572,FLEMING PUBLIC SCHOOL  --
1573,FRANCIS LIBERMANN CATHOLIC HIGH SCHOOL  --
1574,GENERAL BROCK PUBLIC SCHOOL  --
1575,GENERAL CRERAR PUBLIC SCHOOL  --
1576,GEORGE B LITTLE JUNIOR PUBLIC SCHOOL  --
1577,GEORGE P MACKIE JUNIOR PUBLIC SCHOOL  --
1578,GEORGE PECK PUBLIC SCHOOL  --
1579,GLAMORGAN JUNIOR PUBLIC SCHOOL  --
158,FRONTENAC YOUTH SERVICES - GIBB  --
1580,GLEN RAVINE PUBLIC SCHOOL  --
1581,GOLF ROAD JUNIOR PUBLIC SCHOOL  --
1582,GUILDWOOD JUNIOR PUBLIC SCHOOL  --
1583,H A HALBERT JUNIOR PUBLIC SCHOOL  --
1585,HEATHER HEIGHTS JUNIOR PUBLIC SCHOOL  --
1586,HENRY HUDSON SENIOR PUBLIC SCHOOL  --
1587,HERITAGE PARK PUBLIC SCHOOL  --
1588,HOLY SPIRIT SEPARATE SCHOOL  --
159,FRONTENAC YOUTH SERVICES - HARMONY  --
1590,HUNTERS GLEN JUNIOR PUBLIC SCHOOL  --
1591,IMMACULATE HEART OF MARY SEPARATE SCHOOL  --
1592,INDUS SYSTEMS TRAINING COLLEGE
1593,INSTITUTE OF TECHNICAL TRADES (ITT) - SCARBOROUGH  --
1594,INTERNATIONAL INSTITUTE OF TRAVEL - SCARBOROUGH  --
1595,IONVIEW PUBLIC SCHOOL  --
1596,J G WORKMAN PUBLIC SCHOOL  --
1597,JAMES S WOODSWORTH SENIOR PUBLIC SCHOOL  --
1598,JEAN VANIER CATHOLIC SECONDARY SCHOOL  --
1599,JOHN A LESLIE PUBLIC SCHOOL  --
16,GREAT LAKES BIBLE COLLEGE  --
160,FULL CIRCLE TREATMENT HOMES  --
1600,JOHN G DIEFENBAKER PUBLIC SCHOOL  --
1601,JOHN MCCRAE SENIOR PUBLIC SCHOOL  --
1606,KENNEDY PUBLIC SCHOOL  --
1607,KNOB HILL JUNIOR PUBLIC SCHOOL  --
1608,LAM SCHOOL OF ADVANCED ESTHETICS  --
161,GINAS COLLEGE OF ADVANCED AESTHETICS  --
1610,LESTER B PEARSON COLLEGIATE INSTITUTE  --
1611,LORD ROBERTS JUNIOR PUBLIC SCHOOL  --
1612,LUCY MAUD MONTGOMERY PUBLIC SCHOOL  --
1613,MACKLIN PUBLIC SCHOOL  --
1614,MALVERN JUNIOR PUBLIC SCHOOL  --
1615,MANHATTAN PARK JUNIOR PUBLIC SCHOOL  --
1616,MARY SHADD PUBLIC SCHOOL  --
1617,MARY WARD CATHOLIC SECONDARY SCHOOL  --
1618,MARYVALE PUBLIC SCHOOL  --
1619,MASON ROAD JUNIOR PUBLIC SCHOOL  --
162,HOLY TRINITY SCHOOL  --
1622,MEHARG SCHOOL OF ELECTROLYSIS  --
1624,MIDLAND AVENUE COLLEGIATE INSTITUTE  --
1625,MORRISH PUBLIC SCHOOL  --
