,HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime,Dist,PD
2236,3337,391,9092,18,M,Y,O,O,S,1,7,3,2,21.75,B,1000,16.97054,35
2237,483,391,9092,19,F,N,S,P,S,2,6,4,0,13.85,B,900,14.90143,12
2238,398,391,E0471,23,F,Y,O,O,S,0,1,1,0,16.93,W,1330,1.7730339999999998,10
2239,96,391,9092,27,F,Y,P,F,P,0,6,3,0,144.19,9,-1,16.59996,2
2240,1047,391,C405,30,M,Y,O,O,S,4,6,4,0,19.47,9,-1,33.90625,20
2241,211,391,9092,28,F,Y,S,P,S,0,3,2,0,29.78,B,805,14.00034,4
2243,21,391,9092,19,M,N,O,O,S,0,4,3,0,63.2,B,930,17.796,1
2244,50,69,9103,23,M,Y,O,O,S,1,7,2,0,20.06,W,820,1.5870020000000002,1
2245,3192,2667,9290,18,M,Y,O,O,S,3,7,3,2,17.65,D,700,23.7553,34
2246,5164,5198,9011,30,F,Y,P,F,P,1,3,1,0,57.21,9,-1,5.653838,46
2247,40,38,9031,20,F,Y,M,P,S,0,1,1,0,44.2,9,-1,0.7708689999999999,1
2249,422,25,9244,27,F,Y,S,P,S,2,7,3,0,67.53,9,-1,13.798219999999999,10
2250,22,25,9244,20,F,Y,S,P,S,1,1,2,0,30.93,C,930,1.614534,1
2251,150,2667,9290,20,F,Y,G,P,S,3,5,3,2,47.89,9,-1,32.34534,3
2252,3854,5198,9011,23,F,Y,O,O,S,2,4,4,0,44.73,B,730,48.88205,36
2253,4105,5198,7290,23,M,Y,O,O,P,2,4,4,1,19.33,D,900,35.964769999999994,38
2254,555,38,9031,21,M,Y,O,O,P,2,3,4,0,18.56,9,-1,19.55397,14
2256,336,25,9244,54,F,Y,G,F,P,2,6,2,0,6.48,9,-1,19.97952,8
2257,2383,25,9244,17,F,N,O,O,S,3,6,2,4,21.3,9,-1,28.22214,31
2258,487,25,9244,23,F,9,S,P,S,1,5,5,1,26.12,B,635,18.66001,13
2259,2357,5198,9011,35,M,Y,P,F,P,1,4,2,2,47.69,9,-1,84.23683,31
2260,587,38,9031,21,M,Y,O,O,S,2,6,7,0,22.83,B,1030,19.1101,16
2261,3324,25,9244,20,M,N,O,O,S,2,4,3,2,56.51,J,900,36.063050000000004,35
2262,2207,38,9031,18,M,Y,S,P,S,2,6,3,3,20.16,B,830,22.74716,29
2263,259,25,9244,18,M,Y,S,P,S,1,5,3,1,36.42,P,740,7.6022419999999995,6
2264,2126,38,9031,21,F,Y,9,P,S,2,3,3,0,48.1,B,700,20.25541,33
2265,3635,5198,9011,18,M,N,O,O,S,2,4,3,0,25.47,9,-1,39.50913,36
2266,4108,5198,7290,21,F,Y,P,P,S,3,7,4,0,45.01,D,800,36.62417,38
2267,21,38,9031,23,F,Y,S,P,P,0,7,4,0,17.09,W,1800,1.38954,1
2268,2449,25,9244,21,M,Y,O,O,S,2,4,4,0,31.9,B,1025,27.82686,31
