HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime
234,484,C094,25,F,N,O,O,P,1,2,2,0,32.09,B,930
148,69,9103,26,M,Y,O,O,S,1,5,2,0,12.91,B,900
101,69,9103,25,F,Y,O,O,S,0,3,2,0,30.23,C,1645
456,69,9103,22,M,Y,O,O,S,2,6,4,0,18.74,B,1105
124,69,9103,38,F,Y,P,P,S,1,7,2,2,14.27,B,945
2057,371,9261,21,M,Y,O,O,S,4,7,6,0,28.39,D,730
457,69,9103,20,M,Y,O,O,S,3,7,4,0,13.04,D,1205
66,69,9103,21,F,Y,O,O,S,0,1,2,0,17.29,W,1100
3716,371,9261,18,M,N,O,O,S,1,5,3,0,14.93,B,1000
48,69,9103,23,F,Y,O,O,S,0,7,1,0,36.75,W,1145
3657,371,9261,20,M,Y,O,O,S,2,4,4,0,76.4,B,900
48,69,9103,23,F,Y,O,O,S,0,2,1,0,36.75,W,845
410,69,9103,21,M,Y,O,O,S,1,2,4,0,35.28,B,1020
178,69,9103,23,F,Y,O,O,S,1,3,2,0,26.75,B,1215
93,69,9103,26,F,9,O,O,S,0,4,3,0,5.62,W,900
1121,1199,E0297,21,F,Y,G,P,S,2,6,3,0,31.67,P,800
3685,371,9261,18,F,Y,O,O,S,1,5,4,0,33.98,B,900
63,69,9103,21,M,N,O,O,S,0,7,1,0,74.21,B,850
2352,69,9103,22,F,Y,O,O,S,2,5,3,0,16.71,B,855
3354,69,9103,19,F,Y,G,P,S,1,4,3,0,6.84,J,400
420,69,9103,26,F,Y,P,P,S,1,5,2,0,12.82,B,1700
110,371,9261,26,M,Y,O,O,S,1,2,3,0,73.97,D,930
49,69,9103,18,F,Y,O,O,P,0,7,3,0,36.95,W,1015
3013,371,9261,19,M,Y,M,P,S,3,3,4,0,42.19,D,1700
370,371,384,18,M,Y,S,P,S,2,6,4,1,56.87,D,845
1181,371,9261,32,F,Y,P,P,S,2,7,3,0,28.63,D,900
3720,371,369,23,F,Y,S,P,S,3,4,3,1,32.22,D,900
127,69,9103,21,F,Y,S,P,S,2,4,3,1,30.16,B,1000
46,69,9103,19,F,N,O,O,S,0,1,2,0,13.99,W,945
42,69,9103,29,M,Y,P,F,P,1,5,2,0,18.58,W,730
4103,3851,9309,24,M,Y,M,F,P,2,3,4,0,16.05,D,930
407,371,9261,18,M,Y,O,O,S,2,7,3,1,4.6,B,730
47,69,9103,21,M,Y,O,O,S,0,7,1,0,58.23,W,1040
118,371,9261,27,F,N,S,P,S,1,3,2,0,33.54,B,715
452,69,9103,23,F,Y,O,O,P,1,4,3,0,65.39,B,1220
318,69,9103,22,F,Y,S,P,S,1,2,2,0,59.87,B,800
280,69,9103,25,F,Y,P,P,S,0,6,3,0,17.68,B,830
21,69,9103,24,F,Y,P,J,S,0,1,2,0,36.35,C,1630
595,69,9103,20,M,Y,O,O,S,1,2,3,1,29.32,B,1105
211,69,9103,23,M,N,O,O,S,0,2,2,0,51.7,B,845
2248,371,9261,20,F,Y,O,O,S,3,2,4,0,23.11,D,900
72,69,9103,24,F,Y,O,O,S,0,1,1,0,29.4,C,1200
47,69,9103,25,M,Y,O,O,S,0,2,1,0,28.94,W,1100
2120,371,9261,19,F,Y,S,P,S,2,7,3,0,8.02,B,900
119,69,9103,35,M,Y,O,O,S,0,2,1,0,19.59,B,755
101,371,9261,26,F,9,O,O,S,1,3,5,0,31.59,B,800
68,69,9103,20,F,Y,O,O,S,0,2,2,0,42.82,W,950
390,371,9261,21,M,Y,O,O,S,0,7,2,1,28.48,B,1600
590,69,9103,20,M,Y,O,O,S,0,7,2,1,55.0,B,630
618,69,9103,18,F,Y,O,O,S,2,4,4,1,12.51,B,700
348,69,9103,25,M,N,P,P,S,2,6,4,0,16.7,B,1000
461,69,9103,20,M,Y,O,O,S,3,7,3,1,13.44,B,900
46,69,9103,20,M,Y,S,P,S,0,1,2,0,35.89,W,955
3337,69,9103,23,M,Y,S,P,S,2,4,4,0,18.59,B,800
3636,69,9103,22,F,Y,O,O,S,3,3,4,1,56.79,B,700
265,69,9103,34,F,Y,P,F,P,1,4,2,1,105.91,D,1025
3193,371,9261,24,M,Y,M,F,P,5,5,4,1,42.9,D,730
68,69,9103,19,M,Y,O,O,S,0,7,2,0,18.13,W,845
2128,69,9103,18,F,Y,O,O,S,1,2,2,0,14.79,B,1200
3468,371,384,17,M,Y,O,O,S,6,4,2,2,13.25,P,825
3637,371,9261,18,M,Y,O,O,S,2,5,4,0,35.39,B,615
1096,69,9103,21,F,Y,S,P,S,3,6,3,0,14.29,J,800
405,69,9103,22,M,Y,O,O,S,1,5,3,1,18.4,B,830
2366,69,9103,24,F,Y,P,P,S,2,5,3,0,52.36,P,1430
450,182,1239,34,F,N,O,O,P,2,2,3,0,3.77,B,900
46,69,9103,33,F,Y,G,P,S,0,5,2,1,4.83,B,1000
3833,371,384,21,F,Y,O,O,S,1,4,3,0,33.36,B,1300
3506,371,9261,42,F,Y,O,O,S,1,7,2,2,13.74,D,715
3630,371,9261,20,F,N,S,P,P,3,4,3,0,9.14,P,910
65,69,9103,26,M,Y,O,O,S,1,5,3,0,15.43,B,800
153,69,9103,29,F,N,P,P,S,2,5,4,1,10.34,B,1000
77,69,9103,26,F,Y,O,O,S,1,6,2,0,18.29,W,830
385,69,9103,21,F,Y,O,O,S,2,4,4,0,28.07,B,730
411,371,9261,29,F,N,O,O,S,2,7,7,1,19.26,B,1000
385,371,9261,25,M,Y,O,O,S,1,3,3,0,22.13,B,730
450,69,9103,27,F,Y,P,P,S,1,3,2,0,17.88,B,730
2224,69,9103,19,F,Y,S,P,S,5,7,5,0,38.89,P,720
48,69,9103,21,M,N,P,P,S,0,3,2,0,35.89,W,1015
2433,69,9103,24,F,Y,O,O,S,2,3,3,0,9.6,G,515
202,69,895,33,F,Y,G,F,P,0,4,2,0,40.72,C,915
450,69,9103,25,M,Y,P,P,S,0,2,2,0,32.0,B,1000
267,371,9261,23,M,Y,O,O,S,3,5,4,0,9.59,D,1300
124,69,9103,22,M,Y,O,O,S,1,6,3,0,77.36,C,1230
3629,371,9261,22,M,Y,O,O,P,0,3,3,0,40.44,B,1700
46,69,9103,21,F,Y,O,O,S,0,1,2,0,22.65,W,1240
248,69,9103,37,F,Y,P,F,P,2,5,2,2,11.55,D,1210
382,371,9261,20,M,Y,O,O,S,0,7,4,0,53.53,W,1300
48,69,9103,24,M,Y,P,P,S,1,2,2,0,28.93,W,1340
222,371,9261,41,F,Y,O,O,S,2,2,2,2,21.4,D,710
40,69,9103,26,F,Y,G,P,S,0,2,1,0,30.05,W,1245
532,69,9103,20,M,N,G,P,S,2,3,3,0,28.69,W,940
540,69,9103,18,M,Y,O,O,S,2,6,3,1,63.56,B,800
119,371,9261,25,M,Y,S,P,S,2,3,3,0,61.68,D,850
3449,371,9261,46,F,Y,S,P,P,3,7,2,1,16.2,D,800
3378,371,9261,19,F,Y,O,O,S,2,7,3,0,19.66,B,700
67,69,9103,25,F,Y,P,F,S,0,2,2,0,29.94,W,1130
41,69,9103,22,M,Y,O,O,S,0,3,2,0,26.84,W,830
59,69,9103,19,F,Y,O,O,S,1,2,3,0,11.63,B,900
522,69,9103,18,F,Y,O,O,S,1,3,4,2,37.72,B,815
454,69,9103,26,M,Y,O,O,S,1,2,2,0,18.95,B,800
99,69,9103,25,F,Y,O,O,S,2,6,3,0,7.6,B,1110
50,69,9103,20,F,Y,O,O,S,0,7,3,0,34.86,B,1400
68,371,9261,20,F,Y,P,P,S,0,7,2,0,23.97,B,845
506,278,9108,18,M,N,S,P,S,0,3,3,1,21.23,B,805
443,69,9103,21,M,N,O,O,S,0,2,2,0,13.39,B,1600
21,278,9108,31,F,N,S,P,S,0,4,2,1,31.18,B,805
2255,69,9103,21,F,Y,P,P,S,2,4,4,0,37.38,P,830
46,69,9103,22,M,Y,O,O,S,1,2,3,0,44.79,W,955
3337,371,9261,52,F,Y,P,P,P,2,4,2,0,23.34,D,805
93,69,9103,20,F,Y,O,O,S,0,1,2,0,73.96,W,1300
457,69,9103,23,F,Y,O,O,S,2,4,4,0,11.3,B,1500
2418,69,9103,21,F,Y,S,P,S,3,4,4,0,59.54,B,1130
279,69,9103,18,M,N,O,O,S,1,6,4,0,21.38,B,1500
50,69,9103,18,F,Y,O,O,S,0,2,1,0,78.87,W,915
385,69,9103,21,M,Y,O,O,S,1,3,5,1,19.65,B,800
3512,69,9103,19,F,Y,O,O,S,3,4,5,1,9.62,J,700
1033,371,9261,26,M,Y,O,O,S,4,6,4,0,23.37,D,715
241,69,9103,20,M,Y,P,F,P,1,5,3,0,9.92,B,1610
3653,3851,845,56,M,Y,O,O,S,1,1,2,0,12.17,D,1245
66,69,9103,21,F,Y,O,O,S,0,1,1,0,26.36,W,1000
