HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime
553,38,9031,18,F,Y,O,O,S,1,2,3,0,16.21,B,745
5150,5198,9011,27,M,9,S,P,S,1,3,3,0,17.48,9,-1
432,38,9031,32,M,Y,P,F,P,1,6,2,1,15.28,9,-1
282,38,9031,18,M,N,S,P,S,2,7,3,1,26.48,B,900
37,38,9031,17,M,Y,O,O,S,0,7,0,1,8.45,9,-1
4014,5198,9011,27,M,Y,O,O,S,2,4,2,0,23.1,J,730
2351,25,9244,62,F,Y,O,O,S,0,1,1,0,30.09,B,645
21,25,9244,45,F,Y,O,O,S,0,1,1,0,28.26,B,830
90,25,9244,31,F,Y,G,F,P,1,6,2,0,16.61,9,-1
4127,5198,9011,22,M,Y,O,O,P,2,2,4,2,34,9,-1
428,38,9031,62,F,Y,O,O,P,2,4,2,0,8.84,9,-1
237,231,1062,47,M,Y,O,O,P,1,2,2,2,30.39,9,-1
42,38,9031,29,F,Y,S,F,P,0,3,2,0,17.14,9,-1
3436,38,9031,23,M,Y,G,F,P,3,6,5,0,15.67,9,-1
5232,5198,9011,45,F,Y,9,F,P,2,6,2,2,28.55,9,-1
498,25,9244,22,M,Y,O,O,S,1,4,3,0,10.73,B,1600
4173,25,9243,19,M,Y,O,O,S,4,7,4,2,3.6,G,600
24,38,9031,21,F,Y,P,P,S,0,2,2,0,127.84,W,950
3694,465,550,23,F,Y,O,O,S,3,5,4,0,14.8,D,900
337,25,9244,23,M,Y,O,O,S,3,7,4,0,14.91,B,1215
463,38,9031,35,M,Y,O,O,S,1,1,2,0,20.27,B,900
5084,5198,9011,20,F,Y,P,P,P,2,4,3,1,33.12,9,-1
3354,38,9031,20,F,Y,S,P,S,3,4,4,3,8.11,J,920
23,38,9031,66,F,N,P,P,P,0,6,1,0,5.06,9,-1
4084,5119,9270,37,M,Y,M,F,P,2,6,2,0,12.02,9,-1
3369,2667,9290,25,F,Y,9,P,S,3,7,4,1,75.75,D,800
343,25,9244,24,M,Y,S,P,S,2,6,4,0,15.76,B,1030
2353,2353,4529,17,M,Y,O,O,S,1,3,1,2,18.86,W,825
571,25,9244,18,M,Y,O,O,S,3,6,4,0,25,J,655
407,25,9244,19,M,9,O,O,S,1,7,4,0,4.6,P,715
2216,2236,4324,17,M,Y,S,P,S,2,6,3,2,36.29,D,810
485,25,9244,30,F,Y,G,F,P,4,4,4,0,28.37,9,-1
237,5198,9011,21,M,Y,O,O,S,3,6,5,0,40.96,9,-1
315,22,817,57,F,Y,P,F,P,1,5,2,0,16.53,9,-1
37,38,9031,21,F,Y,P,F,P,0,1,2,0,40.35,9,-1
46,38,9031,21,M,Y,S,P,S,1,7,2,0,16.37,9,-1
5175,5198,9011,22,M,Y,S,P,S,1,2,4,0,45.11,C,1230
5175,5198,9011,27,M,Y,O,O,S,1,2,4,0,45.11,D,1500
3606,5198,9011,19,M,Y,M,P,S,3,4,6,0,76.78,9,-1
3719,25,9244,33,F,Y,G,F,P,1,3,2,0,5.34,9,-1
347,5198,9011,30,M,Y,P,F,P,1,4,2,0,19.3,D,1730
3650,38,9031,28,F,N,9,P,S,1,7,2,0,7.36,G,1115
3691,38,9031,21,M,Y,O,O,S,2,3,3,2,33.79,B,800
494,38,9031,22,F,Y,S,P,S,1,4,4,1,35.91,9,-1
