Family?,Home Zone,Cars,Children,Adults,Income,Gender,Age,Status,License,Distance,Employment,Mode
1,3674,2,1,3,0,1,19,2,1,7.5,1,1
0,41,0,0,2,2,1,25,2,1,1.5,0,2
0,102,0,0,2,2,1,26,2,1,2.5,0,1
1,2423,2,3,2,2,1,17,2,1,22.75,0,10
0,47,0,1,1,0,1,18,2,0,0.5,0,2
1,2616,3,0,5,0,1,25,2,1,41.75,3,5
1,3515,2,0,3,0,1,21,2,0,29.75,0,5
1,93,0,0,2,1,1,20,2,1,1.5,2,1
0,549,1,0,1,0,1,21,2,1,6.0,0,3
1,562,1,0,5,0,1,20,2,0,1.25,0,1
0,3604,2,0,3,0,1,26,2,1,26.25,0,1
0,68,0,0,6,0,1,20,2,1,0.5,0,10
0,70,0,0,1,1,1,18,2,1,0.25,0,10
