,Mode,Licence,Family,Cars,Time.Auto,Time.Transit,Time.Active,Cost.Auto,Cost.Transit
293,Active,1,Other,0,3.6181620000000003,29.895442,34.55601,0.1557394,2.22
294,Transit,0,Family,3,34.881859999999996,70.89578399999998,218.5206,1.0027780000000002,4.44
295,Transit,0,Family,1,47.966840000000005,127.490498,334.04475,1.7159349999999998,6.224742
296,Active,1,Family,2,1.710853,20.776487,15.946485,0.07186870000000001,2.22
297,Transit,1,Family,2,54.603280000000005,83.37464800000002,412.29705000000007,1.964709,10.290610000000001
298,Auto,1,Other,1,19.28054,81.263254,296.076,1.381162,3.936373
299,Auto,1,Family,2,37.062540000000006,92.906376,411.98355,2.2083720000000002,8.585594
300,Transit,1,Family,2,33.60007,76.070727,205.96005,0.9396511000000001,3.0932049999999998
301,Active,0,Other,0,1.9089990000000001,17.573247000000002,19.08999,0.08603605,2.22
302,Transit,1,Family,2,12.25042,55.637858,155.89725,0.7038754,2.22
303,Active,1,Other,0,2.014925,20.126511999999998,15.20709,0.071525,2.22
304,Transit,1,Other,1,5.848496,35.80122,44.581845,0.20092449999999998,2.22
305,Auto,1,Other,2,23.19752,56.483687,129.73508999999999,0.6183491,3.874333
306,Transit,1,Other,0,13.53559,50.490272999999995,88.17565499999999,0.4374089,2.2837959999999997
307,Active,1,Other,0,2.424763,17.100996000000002,26.824515,0.12089449999999999,2.22
308,Active,1,Other,0,2.168042,23.855995999999998,19.46616,0.0877314,2.22
309,Transit,1,Family,0,64.82115,147.448779,404.47889999999995,2.009819,7.150386
310,Transit,1,Family,1,93.38274,175.21282000000005,867.0730500000001,4.1611970000000005,11.91967
311,Active,1,Other,0,11.07215,46.064018,65.243415,0.3110369,2.22
312,Auto,1,Family,2,6.390018,38.625988,78.21375,0.35249899999999995,2.22
313,Active,0,Other,0,3.068723,25.742024,23.927640000000004,0.1104144,2.22
314,Transit,0,Family,1,12.56505,41.092905,74.442345,0.35432659999999994,4.08781
315,Transit,1,Family,1,20.04374,46.728209,121.15327500000001,0.5497384,4.44
316,Transit,0,Family,1,38.36255,84.56743700000001,250.5978,1.267672,4.44
317,Transit,0,Family,1,4.458424,41.395728999999996,47.800875,0.22267870000000003,1.98
318,Active,0,Other,0,1.464106,25.325449,14.598600000000001,0.06579395,2.22
319,Transit,0,Family,1,40.818020000000004,113.97034,270.6438,1.318794,2.2493220000000003
320,Transit,1,Family,2,50.94216,131.16038,370.60335,1.9009900000000002,4.2
321,Active,1,Other,0,3.235257,24.180734,34.47531,0.1553756,2.22
322,Transit,1,Other,1,11.34923,39.849031,65.27565,0.3026518,2.22
323,Transit,1,Other,0,28.00275,96.577332,250.38615,1.186963,1.98
324,Active,1,Other,0,43.3943,119.645507,398.8086,1.9075400000000002,2.57
325,Active,0,Family,0,2.168042,23.855995999999998,19.46616,0.0877314,2.22
326,Transit,1,Other,0,3.892384,28.438384000000003,39.42108,0.1848082,2.22
327,Transit,1,Other,2,34.5015,80.38956999999998,245.51145000000002,1.212828,4.44
328,Transit,1,Other,2,36.27782,80.352112,226.86435,1.169262,4.41937
329,Auto,0,Family,2,22.36391,107.75558,203.22825,0.9552607,5.010846
330,Active,0,Other,0,0.0,0.0,0.0,0.0,0.0
331,Transit,0,Family,1,36.84921,80.49811399999999,243.82365,1.198146,4.44
332,Active,0,Family,1,5.693951,38.521256,68.2008,0.31946840000000004,2.441128
